Customer Name,Product Category,Region
Carlos Adkins,Office Supplies,South
Carlos Berman,Technology,Central
Carlos Bynum,Office Supplies,East
Carlos Byrd,Furniture,East
Carlos Hanson,Furniture,Central
Carlos Hanson,Office Supplies,Central
Carlos Hanson,Technology,Central
Carlos Hess,Furniture,East
Carlos Hess,Office Supplies,East
Carlos Hess,Technology,East
Carlos Johnson,Furniture,West
Carlos Johnson,Office Supplies,West
Carlos Johnson,Technology,West
Carmen Elmore,Furniture,East
Carmen Elmore,Office Supplies,East
Carmen McPherson,Furniture,Central
Carmen McPherson,Office Supplies,Central
Carmen McPherson,Technology,Central
Carol Saunders,Office Supplies,South
Carol Saunders,Technology,South
Carol Sherrill,Furniture,Central
Carol Sherrill,Office Supplies,Central
Carol T Pitts,Furniture,Central
Carol T Pitts,Office Supplies,Central
Carol T Pitts,Technology,Central
Carol Wood,Office Supplies,South
Carole Cash,Furniture,West
Carole Creech,Office Supplies,South
Carole Miller,Furniture,East
Carole Miller,Office Supplies,East
Carole Rosen,Office Supplies,West
Carole Rosen,Technology,West
Caroline Duffy,Furniture,Central
Caroline Duffy,Office Supplies,Central
Caroline Gibson,Office Supplies,East
Caroline Ingram,Office Supplies,West
Caroline Johnston,Furniture,East
Caroline Johnston,Office Supplies,East
Caroline Johnston,Technology,East
Caroline Morton,Furniture,South
Caroline Morton,Office Supplies,South
Caroline Morton,Technology,South
Caroline Stone,Office Supplies,Central
Caroline Stone,Technology,Central
Carolyn Blackwell,Office Supplies,East
Carolyn Bowling,Office Supplies,South
Carolyn Bowling,Technology,South
Carolyn Fisher,Office Supplies,South
Carolyn Fisher,Technology,South
Carolyn Greer,Furniture,West
Carolyn Greer,Office Supplies,West
Carolyn Greer,Technology,West
Carolyn Hoffman,Furniture,Central
Carolyn Hoffman,Office Supplies,Central
Carolyn Hoffman,Technology,Central
Carolyn Levine,Office Supplies,East
Carolyn Proctor,Office Supplies,West
Carrie Boyle,Office Supplies,East
Carrie Boyle,Technology,East
Carrie Duke,Office Supplies,Central
Carrie Duke,Technology,Central
Carrie High,Furniture,Central
Carrie House,Technology,East
Carrie Lewis,Office Supplies,East
Carrie McIntosh,Furniture,South
Carrie McIntosh,Office Supplies,South
Carrie McIntosh,Technology,South
Catherine Casey,Furniture,South
Catherine Dorsey Burnett,Furniture,West
Catherine Dorsey Burnett,Office Supplies,West
Catherine Dorsey Burnett,Technology,West
Catherine Mullins,Office Supplies,West
Catherine Woodard,Furniture,East
Catherine Woodard,Office Supplies,East
Cathy Burgess,Office Supplies,South
Cathy Burgess,Technology,South
Cathy Hutchinson,Office Supplies,South
Cathy Hutchinson,Technology,South
Cathy Simon,Office Supplies,Central
Cathy Simon,Technology,Central
Cathy Weber,Furniture,West
Cathy Weber,Office Supplies,West
Cecil Alford,Office Supplies,East
Cecil Berger,Furniture,South
Cecil Berger,Office Supplies,South
Cecil Berger,Technology,South
Cecil Bray Bush,Office Supplies,West
Cecil Bray Bush,Technology,West
Cecil Nicholson,Technology,East
Cecil Shields,Furniture,Central
Cecil Shields,Office Supplies,Central
Cecil Shields,Technology,Central
Chad Campbell,Technology,Central
Chad Henson,Furniture,East
Chad Henson,Office Supplies,East
Chad Henson,Technology,East
Charlene Day,Furniture,East
Charlene Grant,Furniture,West
Charlene Grant,Office Supplies,West
Charlene Grant,Technology,West
Charlene Jiang,Office Supplies,East
Charlene Reynolds,Furniture,South
Charlene Reynolds,Office Supplies,South
Charlene Reynolds,Technology,South
Charlene Zhou,Office Supplies,East
Charles Cline,Office Supplies,West
Charles Cline,Technology,West
Charles Parsons,Furniture,East
Charles Ward,Furniture,West
Charles Ward,Office Supplies,West
Charles Ward,Technology,West
Charlie Blalock,Furniture,East
Charlie Blalock,Office Supplies,East
Charlie Blalock,Technology,East
Charlie H Jennings,Office Supplies,Central
Charlie H Jennings,Technology,Central
Charlie Moore,Furniture,Central
Charlie Moore,Office Supplies,Central
Charlie Moore,Technology,Central
Charlie Morton,Office Supplies,East
Charlotte L Doyle,Furniture,South
Charlotte L Doyle,Office Supplies,South
Charlotte L Doyle,Technology,South
Charlotte Patterson,Office Supplies,Central
Charlotte Patterson,Technology,Central
Charlotte Stanton,Furniture,Central
Charlotte Stanton,Office Supplies,Central
Charlotte Stanton,Technology,Central
Cheryl Burnette,Technology,East
Cheryl Curtis,Office Supplies,West
Cheryl Curtis,Technology,West
Cheryl Guthrie,Office Supplies,West
Cheryl Guthrie,Technology,West
Cheryl Lester Coley,Office Supplies,East
Chris Bernstein,Technology,East
Chris F Brandt,Furniture,East
Chris F Brandt,Office Supplies,East
Chris F Brandt,Technology,East
Chris Ford,Office Supplies,East
Chris Ford,Technology,East
Chris High,Furniture,Central
Chris High,Office Supplies,Central
Chris Justice,Technology,East
Chris Pritchard,Furniture,West
Chris Pritchard,Office Supplies,West
Chris Pritchard,Technology,West
Chris Rowland,Furniture,West
Chris Rowland,Technology,West
Chris Williams,Office Supplies,Central
Chris Williams,Technology,Central
Christian Albright,Furniture,South
Christian Albright,Office Supplies,South
Christian Albright,Technology,South
Christian Branch,Furniture,Central
Christian Branch,Office Supplies,Central
Christian Lucas,Furniture,East
Christian Lucas,Office Supplies,East
Christian Tilley,Furniture,East
Christian Tilley,Technology,East
Christina Hanna,Furniture,West
Christina Hanna,Office Supplies,West
Christina Matthews,Office Supplies,East
Christina McNeill,Technology,East
Christina Thompson,Furniture,South
Christina Thompson,Office Supplies,South
Christina Zhu,Furniture,West
Christina Zhu,Office Supplies,West
Christine Carver,Office Supplies,South
Christine Gardner,Furniture,West
Christine Gardner,Office Supplies,West
Christine Gardner,Technology,West
Christine Wilkerson,Furniture,South
Christine Wilkerson,Office Supplies,South
Christine Wilkerson,Technology,South
Christopher Berman,Technology,East
Christopher Bryant,Furniture,West
Christopher Bryant,Office Supplies,West
Christopher Bryant,Technology,West
Christopher Carlton,Office Supplies,East
Christopher Chambers,Furniture,West
Christopher Chambers,Office Supplies,West
Christopher Chambers,Technology,West
Christopher High,Furniture,East
Christopher High,Office Supplies,East
Christopher High,Technology,East
Christopher Horner,Furniture,Central
Christopher Horner,Office Supplies,Central
Christopher Meadows,Office Supplies,East
Christopher Meadows,Technology,East
Christopher Norton Patterson,Office Supplies,South
Christopher Norton Patterson,Technology,South
Christy Dunn,Furniture,East
Christy Watkins,Furniture,Central
Christy Watkins,Office Supplies,Central
Christy Watkins,Technology,Central
Cindy Ennis,Furniture,Central
Cindy Ennis,Office Supplies,Central
Cindy Ennis,Technology,Central
Cindy Harvey,Office Supplies,West
Cindy Harvey,Technology,West
Cindy Hinton,Furniture,Central
Cindy Hinton,Technology,Central
Cindy McLeod,Furniture,Central
Cindy McLeod,Office Supplies,Central
Claire Barton,Office Supplies,Central
Claire Quinn,Technology,East
Claire Warren,Office Supplies,East
Clara Bullock,Furniture,Central
Clara Bullock,Office Supplies,Central
Clara Bullock,Technology,Central
Clara Hauser,Office Supplies,East
Clara Hauser,Technology,East
Clara Kaplan,Furniture,East
Clara Kaplan,Office Supplies,East
Clara Kaplan,Technology,East
Clarence Crowder,Furniture,West
Clarence Crowder,Office Supplies,West
Clarence Crowder,Technology,West
Clarence Davis,Office Supplies,East
Claude Dixon,Office Supplies,East
Claude Meyer,Office Supplies,West
Claude Meyer,Technology,West
Claude Silver,Technology,East
Claudia Bean,Office Supplies,Central
Claudia Boyle,Technology,East
Claudia Snyder,Office Supplies,West
Claudia Snyder,Technology,West
Claudia Upchurch,Office Supplies,East
Claudia Wall,Furniture,East
